GameNumber,Date,Color,Opponent,Result,Outcome,MyElo,OpponentElo,TimeControl,ECO,Opening,Termination,Site,NumPlies
71,2023.08.20,Black,sonicfourtex,0-1,Win,764,349,1/86400,B00,,KatsMeow23 won by resignation,Chess.com,14
72,2023.08.22,Black,TheKemp,0-1,Win,771,594,1/86400,B20,,KatsMeow23 won on time,Chess.com,8
73,2023.08.23,Black,Sherky1776,0-1,Win,780,685,1/86400,C44,,KatsMeow23 won by checkmate,Chess.com,88
74,2023.08.24,White,Sherky1776,1-0,Win,788,687,1/86400,A04,,KatsMeow23 won by resignation,Chess.com,70
75,2023.08.24,Black,Sherky1776,0-1,Win,796,682,1/86400,D02,,KatsMeow23 won by resignation,Chess.com,104
76,2023.08.22,Black,traserrano,1-0,Loss,790,951,1/86400,B20,,traserrano won by resignation,Chess.com,61
77,2023.08.23,Black,cesarvlla,0-1,Win,801,794,1/86400,C61,,KatsMeow23 won on time,Chess.com,26
78,2023.08.25,White,Sherky1776,1-0,Win,808,684,1/86400,A03,,KatsMeow23 won by resignation,Chess.com,65
79,2023.08.25,White,Oldcrow2,1-0,Win,819,841,1/86400,A03,,KatsMeow23 won by checkmate,Chess.com,95
80,2023.08.23,White,piyumaja,0-1,Loss,813,949,1/86400,A02,,piyumaja won by resignation,Chess.com,62
81,2023.08.28,Black,TrevorLyman,1-0,Loss,953,1046,1800,D04,,TrevorLyman won by resignation,Chess.com,131
82,2023.08.22,Black,Casperati,0-1,Win,816,520,1/86400,B00,,KatsMeow23 won on time,Chess.com,52
83,2023.08.28,Black,Frikroma,1-0,Loss,811,989,1/86400,C57,,Frikroma won by resignation,Chess.com,49
84,2023.08.28,White,patatafricana-20,1-0,Win,816,643,1/86400,A02,,KatsMeow23 won by checkmate,Chess.com,19
85,2023.08.24,White,Impulsive-BG,0-1,Loss,811,967,1/86400,A02,,Impulsive-BG won by checkmate,Chess.com,60
86,2023.08.28,White,HoratioTinG,0-1,Loss,805,932,1/86400,D02,,HoratioTinG won by checkmate,Chess.com,38
87,2023.08.25,White,cesarvlla,1-0,Win,812,753,1/86400,A03,,KatsMeow23 won on time,Chess.com,33
88,2023.08.31,White,MORACI180667,0-1,Loss,937,1007,1800,C42,,MORACI180667 won by resignation,Chess.com,26
89,2023.09.01,White,0marGMA5TER,1-0,Win,953,870,1800,B01,,KatsMeow23 won by checkmate,Chess.com,43
90,2023.09.01,White,lap10502300,1/2-1/2,Draw,953,944,1800,B10,,Game drawn by insufficient material,Chess.com,142
91,2023.08.31,Black,Montana_Logger,0-1,Win,822,837,1/86400,C20,,KatsMeow23 won by resignation,Chess.com,21
92,2023.09.01,White,jvicebox,0-1,Loss,935,912,1800,C50,,jvicebox won by checkmate,Chess.com,66
93,2023.08.28,Black,oMezmerize,0-1,Win,828,698,1/86400,C25,,KatsMeow23 won on time,Chess.com,8
94,2023.09.01,Black,Masterchess_Pozuelo,0-1,Win,950,917,1800,C25,,KatsMeow23 won by resignation,Chess.com,64
95,2023.09.01,Black,Shawnc4,1-0,Loss,936,973,1800,C20,,Shawnc4 won by resignation,Chess.com,23
96,2023.09.01,White,SMAYT3,0-1,Loss,920,899,1800,B30,,SMAYT3 won by resignation,Chess.com,134
97,2023.09.01,Black,betgolcasma,0-1,Win,938,1014,1800,A46,,KatsMeow23 won - game abandoned,Chess.com,18
98,2023.09.01,White,Jayweed1993,0-1,Loss,923,885,1800,B12,,Jayweed1993 won by checkmate,Chess.com,148
99,2023.09.02,White,quickboxingchess,0-1,Loss,911,944,1800,C41,,quickboxingchess won by resignation,Chess.com,26
100,2023.09.02,Black,kaplog77,0-1,Win,923,884,1800,B00,,KatsMeow23 won by resignation,Chess.com,20
101,2023.09.02,Black,itsyoboicat16,1-0,Loss,912,968,1800,A46,,itsyoboicat16 won by resignation,Chess.com,69
102,2023.09.01,White,purplemurphle,0-1,Loss,823,999,1/86400,C20,,purplemurphle won by resignation,Chess.com,34
103,2023.09.03,Black,YaBlyaDa,0-1,Win,921,832,1800,C20,,KatsMeow23 won by checkmate,Chess.com,122
104,2023.09.03,Black,AnaRiv_27,1-0,Loss,809,500,1/86400,A46,,AnaRiv_27 won by resignation,Chess.com,19
105,2023.09.04,White,Mohammadshafi1340,1-0,Win,937,1063,1800,B01,,KatsMeow23 won by resignation,Chess.com,114
106,2023.08.12,White,pdtorr,0-1,Loss,801,804,1/604800,D02,,pdtorr won by checkmate,Chess.com,68
107,2023.09.06,White,cdigiovanni,0-1,Loss,920,759,1800,A02,,cdigiovanni won by checkmate,Chess.com,88
108,2023.09.06,White,tarunachoudhury,0-1,Loss,911,991,1800,C50,,tarunachoudhury won by checkmate,Chess.com,34
109,2023.09.06,Black,spokes3531,1-0,Loss,896,775,1800,C25,,spokes3531 won by checkmate,Chess.com,25
110,2023.09.01,White,oMezmerize,0-1,Loss,792,738,1/86400,A03,,oMezmerize won by checkmate,Chess.com,70
111,2023.09.08,White,zipve,1-0,Win,900,615,1800,C40,,KatsMeow23 won - game abandoned,Chess.com,19
112,2023.09.08,Black,TheKingsDropkick,0-1,Win,913,981,1800,A00,,KatsMeow23 won by checkmate,Chess.com,4
113,2023.09.08,White,admzen,0-1,Loss,901,873,1800,B01,,admzen won by checkmate,Chess.com,58
114,2023.09.08,White,Fernando_AM04,0-1,Loss,890,877,1800,C67,,Fernando_AM04 won by checkmate,Chess.com,34
115,2023.09.08,Black,JudithBou,1-0,Loss,881,913,1800,D00,,JudithBou won by resignation,Chess.com,71
116,2023.09.08,Black,Dr1Studhorse,1-0,Loss,873,931,1800,C42,,Dr1Studhorse won by resignation,Chess.com,47
117,2023.09.08,Black,I_am_not_Jhunlex,0-1,Win,880,796,1800,C42,,KatsMeow23 won by resignation,Chess.com,42
118,2023.09.08,Black,Shubham63538,1/2-1/2,Draw,879,834,1800,C21,,Game drawn by agreement,Chess.com,46
119,2023.09.09,White,Thanhtung03D,1-0,Win,887,823,1800,C41,,KatsMeow23 won by checkmate,Chess.com,53
120,2023.09.09,White,DanielAlan6254,1-0,Win,897,951,1800,B30,,KatsMeow23 won by resignation,Chess.com,29
121,2023.09.09,White,Arkash12,0-1,Loss,890,941,1800,B01,,Arkash12 won by resignation,Chess.com,20
122,2023.09.09,White,plax2052,1-0,Win,899,899,1800,B00,,KatsMeow23 won by resignation,Chess.com,1
123,2023.09.09,Black,smileyman1220,0-1,Win,904,770,1800,C42,,KatsMeow23 won by checkmate,Chess.com,50
124,2023.09.09,Black,mcrigby,1-0,Loss,895,882,1800,C20,,mcrigby won by checkmate,Chess.com,81
125,2023.09.09,Black,psc51,0-1,Win,904,931,1800,A40,,KatsMeow23 won by resignation,Chess.com,122
126,2023.08.23,Black,quatreW,0-1,Win,793,281,1/86400,A00,,KatsMeow23 won by resignation,Chess.com,68
127,2023.09.02,White,lap10502300,0-1,Loss,790,1043,1/86400,A03,,lap10502300 won by resignation,Chess.com,40
128,2023.09.11,White,x-5659556161,1-0,Win,913,943,600,C50,,KatsMeow23 won by resignation,Chess.com,66
129,2023.09.11,Black,zarabuffchess,1-0,Loss,905,938,600,C42,,zarabuffchess won by resignation,Chess.com,64
130,2023.09.11,White,matthijs1221,0-1,Loss,897,933,600,C50,,matthijs1221 won by resignation,Chess.com,40
131,2023.09.11,Black,JoeJones3,1-0,Loss,889,920,600,A00,,JoeJones3 won by resignation,Chess.com,47
132,2023.09.11,Black,fsbushka,1-0,Loss,880,869,600,C20,,fsbushka won by resignation,Chess.com,54
133,2023.09.11,White,RickyslimEvans,0-1,Loss,873,912,600,C42,,RickyslimEvans won by resignation,Chess.com,16
134,2023.09.11,Black,dcwasz,0-1,Win,880,818,600,C42,,KatsMeow23 won by resignation,Chess.com,66
135,2023.09.12,White,BIGTRUCK1981,0-1,Loss,872,878,600,C65,,BIGTRUCK1981 won by resignation,Chess.com,60
136,2023.09.12,White,zuyvang,0-1,Loss,864,885,600,C50,,zuyvang won by resignation,Chess.com,33
137,2023.09.12,White,raykobra,0-1,Loss,855,851,600,B01,,raykobra won by resignation,Chess.com,26
138,2023.09.12,Black,CanadaIsntARealCountry,1-0,Loss,848,899,600,C42,,CanadaIsntARealCountry won by resignation,Chess.com,103
139,2023.09.12,Black,Maikupa,0-1,Win,856,822,900+10,D00,,KatsMeow23 won by checkmate,Chess.com,86
140,2023.09.12,White,michaelehlers3,1-0,Win,862,772,900+10,C24,,KatsMeow23 won by checkmate,Chess.com,75
141,2023.09.11,White,quatreW,1-0,Win,791,266,1/86400,B29,,KatsMeow23 won by checkmate,Chess.com,11
142,2023.09.12,White,Wufje,0-1,Loss,853,845,600,C55,,Wufje won by checkmate,Chess.com,32
143,2023.09.12,Black,Ataraxia0,1-0,Loss,845,847,600,C42,,Ataraxia0 won on time,Chess.com,61
144,2023.09.12,Black,alexoates,0-1,Win,854,873,600,C42,,KatsMeow23 won by checkmate,Chess.com,66
145,2023.09.12,White,lexplay3,1-0,Win,863,883,600,B10,,KatsMeow23 won by resignation,Chess.com,35
146,2023.09.12,Black,Ronacorer,0-1,Win,873,942,1800,C24,,KatsMeow23 won by checkmate,Chess.com,36
147,2023.09.12,Black,Rionach,1-0,Loss,865,860,1800,C40,,Rionach won by resignation,Chess.com,56
148,2023.09.12,Black,Maybed3,1-0,Loss,857,865,600,C42,,Maybed3 won by checkmate,Chess.com,39
149,2023.09.12,White,Superikili,1-0,Win,865,833,600,A40,,KatsMeow23 won by resignation,Chess.com,27
150,2023.09.12,White,keemtheunintelligent,1-0,Win,874,886,600,C78,,KatsMeow23 won by resignation,Chess.com,43
151,2023.09.13,Black,therealkingrandy,0-1,Win,883,887,600,C42,,KatsMeow23 won by resignation,Chess.com,63
152,2023.09.13,White,leleBello,0-1,Loss,876,932,600,C41,,leleBello won by checkmate,Chess.com,58
153,2023.09.13,White,Freshdeuce,1-0,Win,884,852,600,C40,,KatsMeow23 won by resignation,Chess.com,39
154,2023.09.13,Black,RakkoonNut,1-0,Loss,876,872,600,C42,,RakkoonNut won on time,Chess.com,87
155,2023.09.13,Black,Joj02022,1-0,Loss,868,864,600,C42,,Joj02022 won by checkmate,Chess.com,85
156,2023.09.13,White,BladeexYT,0-1,Loss,862,947,600,C60,,BladeexYT won by resignation,Chess.com,52
157,2023.09.13,Black,csloki,0-1,Win,870,869,600,C40,,KatsMeow23 won - game abandoned,Chess.com,14
158,2023.09.13,Black,Carloszr1987,1-0,Loss,863,923,600,C42,,Carloszr1987 won by checkmate,Chess.com,49
159,2023.09.13,White,suspenceiskillinu,0-1,Loss,856,913,600,C67,,suspenceiskillinu won by resignation,Chess.com,22
160,2023.09.14,Black,npast21,0-1,Win,864,845,600,A45,,KatsMeow23 won by resignation,Chess.com,36
161,2023.09.14,Black,Dhruav12,1-0,Loss,857,893,600,A46,,Dhruav12 won on time,Chess.com,85
162,2023.09.14,White,camwht93,0-1,Loss,849,854,600,B06,,camwht93 won by resignation,Chess.com,64
163,2023.09.14,White,csoca71,1-0,Win,857,856,600,C41,,KatsMeow23 won by resignation,Chess.com,44
164,2023.09.14,Black,blunderfudge,1-0,Loss,848,802,600,C26,,blunderfudge won by resignation,Chess.com,69
165,2023.09.14,White,RDBM_1971,0-1,Loss,840,856,600,C61,,RDBM_1971 won on time,Chess.com,88
166,2023.09.14,Black,ericjowers234,0-1,Win,847,792,600,C00,,KatsMeow23 won by resignation,Chess.com,63
167,2023.09.14,Black,BigCityBishop,1-0,Loss,839,845,600,C42,,BigCityBishop won by resignation,Chess.com,49
168,2023.09.14,Black,stevenlohan,0-1,Win,846,803,600,C42,,KatsMeow23 won by resignation,Chess.com,73
169,2023.09.14,White,cljohnson,0-1,Loss,785,857,1/86400,C00,,cljohnson won by resignation,Chess.com,30
170,2023.09.15,White,Pablovaldy,1-0,Win,854,835,600,C60,,KatsMeow23 won by checkmate,Chess.com,61
171,2023.09.15,White,zrh5034,0-1,Loss,847,911,600,C62,,zrh5034 won by resignation,Chess.com,58
172,2023.08.14,Black,pdtorr,1/2-1/2,Draw,784,746,1/604800,B21,,Game drawn by stalemate,Chess.com,136
173,2023.09.14,White,quentinsyco,0-1,Loss,779,915,1/86400,C60,,quentinsyco won by resignation,Chess.com,86
174,2023.09.15,White,ChesstnutGrandMaster,1-0,Win,856,885,600,C41,,KatsMeow23 won by checkmate,Chess.com,71
175,2023.09.15,Black,geovanngutierrez,0-1,Win,791,760,1/86400,A00,,KatsMeow23 won by checkmate,Chess.com,46
176,2023.09.16,Black,NextComb,1-0,Loss,848,883,1800,A00,,NextComb won by resignation,Chess.com,40
177,2023.09.16,White,jujubeans123,0-1,Loss,842,935,600,B10,,jujubeans123 won by resignation,Chess.com,74
178,2023.09.09,White,AnaRiv_27,1-0,Win,793,490,1/86400,C41,,KatsMeow23 won by checkmate,Chess.com,111
179,2023.09.12,Black,quatreW,0-1,Win,794,254,1/86400,A00,,KatsMeow23 won by resignation,Chess.com,65
180,2023.09.14,Black,pupboi_1,0-1,Win,794,800,1/86400,A11,,KatsMeow23 won on time,Chess.com,4
181,2023.09.11,Black,LCTaco,0-1,Win,802,810,1/86400,C42,,KatsMeow23 won on time,Chess.com,62
182,2023.09.16,White,inez4vision,0-1,Loss,833,809,600,C65,,inez4vision won by checkmate,Chess.com,94
183,2023.09.14,White,Brobi0815,0-1,Loss,792,640,1/86400,C75,,Brobi0815 won by checkmate,Chess.com,94
184,2023.09.16,White,quatreW,1-0,Win,793,243,1/86400,B22,,KatsMeow23 won by checkmate,Chess.com,21
185,2023.09.18,Black,Viaroezio,0-1,Win,840,792,600,C20,,KatsMeow23 won by checkmate,Chess.com,68
186,2023.09.18,Black,candelariochave,1-0,Loss,833,873,600,C42,,candelariochave won by resignation,Chess.com,43
187,2023.09.18,Black,jrm2356,1-0,Loss,827,912,600,C42,,jrm2356 won by resignation,Chess.com,67
188,2023.09.18,White,Konschtanz,0-1,Loss,820,865,600,B10,,Konschtanz won on time,Chess.com,68
189,2023.09.18,Black,ZARK_XXX,0-1,Win,829,862,600,C42,,KatsMeow23 won by checkmate,Chess.com,48
190,2023.09.19,Black,jdavidjb,1-0,Loss,820,806,600,C24,,jdavidjb won by checkmate,Chess.com,59
191,2023.09.19,Black,MAGA380,1-0,Loss,813,880,600,C20,,MAGA380 won by resignation,Chess.com,75
192,2023.09.19,White,aleko390,0-1,Loss,805,835,600,B01,,aleko390 won by checkmate,Chess.com,34
193,2023.09.19,White,Alex_Chervenkov,0-1,Loss,796,784,600,C61,,Alex_Chervenkov won on time,Chess.com,116
194,2023.09.19,Black,NDes987,1-0,Loss,787,766,600,A40,,NDes987 won by resignation,Chess.com,47
195,2023.09.19,White,aboazzoz2030,1-0,Win,795,780,600,C62,,KatsMeow23 won on time,Chess.com,89
196,2023.09.19,Black,yashwanth051202,1-0,Loss,786,770,600,C20,,yashwanth051202 won by resignation,Chess.com,37
197,2023.09.19,White,djmaxkazakov,1-0,Win,793,756,600,B52,,KatsMeow23 won by resignation,Chess.com,41
198,2023.09.18,White,geovanngutierrez,1-0,Win,800,636,1/86400,C42,,KatsMeow23 won by checkmate,Chess.com,33
199,2023.09.19,White,m33st3rdan,0-1,Loss,785,783,600,B30,,m33st3rdan won by resignation,Chess.com,44
200,2023.09.19,White,johandp85,1-0,Win,804,650,1/86400,C40,,KatsMeow23 won by checkmate,Chess.com,39
201,2023.09.20,White,Joey_fish_stix1,1/2-1/2,Draw,785,770,600,B00,,Game drawn by agreement,Chess.com,1
202,2023.09.20,Black,Cbusknight,1-0,Loss,778,814,600,C42,,Cbusknight won by checkmate,Chess.com,73
203,2023.09.20,Black,dmartinez101,1-0,Loss,771,828,600,C00,,dmartinez101 won by checkmate,Chess.com,123
204,2023.09.19,Black,geovanngutierrez,0-1,Win,809,579,1/86400,B00,,KatsMeow23 won by checkmate,Chess.com,70
205,2023.09.19,Black,geovanngutierrez,0-1,Win,813,543,1/86400,B01,,KatsMeow23 won by checkmate,Chess.com,72
206,2023.09.21,Black,Nacho_rm,1-0,Loss,762,725,600,C42,,Nacho_rm won by checkmate,Chess.com,41
207,2023.09.21,White,lcpheavy,1-0,Win,773,894,600,C41,,KatsMeow23 won by resignation,Chess.com,29
208,2023.09.21,Black,thegrainman,1-0,Loss,766,829,600,A40,,thegrainman won by checkmate,Chess.com,35
209,2023.09.19,Black,jbzeway,1-0,Loss,809,962,1/86400,D00,,jbzeway won by checkmate,Chess.com,59
210,2023.09.18,Black,quatreW,0-1,Win,810,234,1/86400,C42,,KatsMeow23 won by resignation,Chess.com,54
211,2023.09.20,White,geovanngutierrez,1-0,Win,813,517,1/86400,C00,,KatsMeow23 won by checkmate,Chess.com,33
212,2023.09.21,Black,lubdub107,0-1,Win,776,835,1800,B01,,KatsMeow23 won by checkmate,Chess.com,38
213,2023.09.19,White,Amy_Dunne,0-1,Loss,805,797,1/86400,B10,,Amy_Dunne won by resignation,Chess.com,66
214,2023.09.19,White,Sherky1776,0-1,Loss,796,740,1/86400,C20,,Sherky1776 won by checkmate,Chess.com,44
215,2023.09.22,White,geovanngutierrez,1-0,Win,838,435,60,C00,,KatsMeow23 won by checkmate,Chess.com,29
216,2023.09.23,Black,King_Fish123,1-0,Loss,767,746,600,C34,,King_Fish123 won by resignation,Chess.com,51
217,2023.09.23,White,Philhero,0-1,Loss,758,719,600,A80,,Philhero won by resignation,Chess.com,50
218,2023.09.19,White,Cybathreat,0-1,Loss,791,917,1/86400,B01,,Cybathreat won by resignation,Chess.com,74
219,2023.09.21,Black,geovanngutierrez,0-1,Win,794,495,1/86400,B01,,KatsMeow23 won by checkmate,Chess.com,86
220,2023.09.21,White,quatreW,1-0,Win,795,225,1/86400,D00,,KatsMeow23 won by checkmate,Chess.com,69
221,2023.09.26,Black,IngloriousBaster,0-1,Win,765,721,600,B00,,KatsMeow23 won by resignation,Chess.com,76
222,2023.09.26,White,glauco1965,0-1,Loss,757,791,600,A45,,glauco1965 won by resignation,Chess.com,38
223,2023.09.27,White,PawnyontheSpot,1/2-1/2,Draw,758,801,600,D02,,Game drawn by timeout vs insufficient material,Chess.com,128
224,2023.09.27,White,YaroslavMoroz1991,0-1,Loss,751,796,600,C24,,YaroslavMoroz1991 won by resignation,Chess.com,44
225,2023.09.28,Black,liranravid,1-0,Loss,743,755,600,B01,,liranravid won by resignation,Chess.com,9
226,2023.09.28,Black,pc_garutti,1-0,Loss,735,769,600,C20,,pc_garutti won by resignation,Chess.com,37
227,2023.09.28,Black,hankypanky79,1-0,Loss,728,765,600,C24,,hankypanky79 won by checkmate,Chess.com,83
228,2023.09.28,White,justinspinks,0-1,Loss,721,784,600,D02,,justinspinks won on time,Chess.com,80
229,2023.09.28,Black,01ratul,1-0,Loss,712,694,1800,B01,,01ratul won - game abandoned,Chess.com,15
230,2023.09.28,Black,Ravi-9461babu,1-0,Loss,706,785,1800,B01,,Ravi-9461babu won by resignation,Chess.com,79
231,2023.09.28,White,depa1972,0-1,Loss,698,705,600,B00,,depa1972 won on time,Chess.com,92
232,2023.09.28,White,giabaotd,1-0,Win,706,684,600,C55,,KatsMeow23 won by checkmate,Chess.com,35
