GameNumber,Date,Color,Opponent,Result,Outcome,MyElo,OpponentElo,TimeControl,ECO,Opening,Termination,Site,NumPlies,TimeCategory
4588,2025.02.20,White,yughan4,0-1,Loss,744,836,300+5,D02,,yughan4 won by checkmate,Chess.com,78,Blitz
4589,2025.02.20,White,TUPAC_RIP,1/2-1/2,Draw,745,787,300+5,D05,,Game drawn by repetition,Chess.com,74,Blitz
4590,2025.02.21,Black,kimbovim,0-1,Win,753,752,300+5,B30,,KatsMeow23 won by checkmate,Chess.com,56,Blitz
4591,2025.02.22,Black,wheelingup,1/2-1/2,Draw,753,732,300+5,B30,,Game drawn by stalemate,Chess.com,97,Blitz
4592,2025.02.22,White,MichaelMills05,0-1,Loss,745,767,300+5,D05,,MichaelMills05 won by checkmate,Chess.com,42,Blitz
4593,2025.02.22,Black,jaredlim,0-1,Win,753,743,300+5,B20,,KatsMeow23 won on time,Chess.com,102,Blitz
4594,2025.02.22,White,Borokyo,1-0,Win,759,660,300+5,D02,,KatsMeow23 won on time,Chess.com,43,Blitz
4595,2025.02.17,White,leightonlbs,0-1,Loss,895,913,1/259200,D04,,leightonlbs won by resignation,Chess.com,72,Daily
4596,2025.02.22,Black,velotopia,0-1,Win,765,674,300+5,A43,,KatsMeow23 won by resignation,Chess.com,80,Blitz
4597,2025.02.16,White,xristos_petrides,1-0,Win,910,930,1/259200,D02,,KatsMeow23 won by resignation,Chess.com,128,Daily
4598,2025.02.22,White,bjeffup,1-0,Win,770,632,300+5,D02,,KatsMeow23 won by resignation,Chess.com,77,Blitz
4599,2025.02.22,White,Gillescavalier,0-1,Loss,762,797,300+5,D02,,Gillescavalier won on time,Chess.com,98,Blitz
4600,2025.02.22,White,dubhatchet,1-0,Win,920,831,1/259200,A04,,KatsMeow23 won by checkmate,Chess.com,29,Daily
4601,2025.02.23,Black,itsanir19,1-0,Loss,755,803,300+5,B23,,itsanir19 won by checkmate,Chess.com,65,Blitz
4602,2025.02.24,White,kinglouis329,0-1,Loss,745,693,300+5,D02,,kinglouis329 won by checkmate,Chess.com,50,Blitz
4603,2025.02.24,Black,kinglouis329,0-1,Win,752,686,300+5,B28,,KatsMeow23 won by resignation,Chess.com,48,Blitz
4604,2025.02.24,White,Taurus1216,0-1,Loss,745,818,300+5,A40,,Taurus1216 won by checkmate,Chess.com,80,Blitz
4605,2025.02.25,Black,squidgy666,1-0,Loss,737,748,300+5,B23,,squidgy666 won by resignation,Chess.com,47,Blitz
4606,2025.02.25,White,Diplo71,0-1,Loss,729,752,300+5,D02,,Diplo71 won by resignation,Chess.com,72,Blitz
4607,2025.02.24,White,eddys0907,0-1,Loss,907,907,1/259200,D02,,eddys0907 won by resignation,Chess.com,62,Daily
4608,2025.02.22,Black,xristos_petrides,0-1,Win,920,931,1/259200,A02,,KatsMeow23 won by checkmate,Chess.com,56,Daily
4609,2025.02.26,Black,JonathanCubaa,1/2-1/2,Draw,729,739,300+5,B28,,Game drawn by repetition,Chess.com,67,Blitz
4610,2025.02.26,White,SCHNERCHU,0-1,Loss,721,742,300+5,D02,,SCHNERCHU won by checkmate,Chess.com,52,Blitz
4611,2025.02.26,Black,wutenderdrache,1-0,Loss,714,783,300+5,B28,,wutenderdrache won by checkmate,Chess.com,67,Blitz
4612,2025.02.21,White,an-as1223,1-0,Win,920,829,1/259200,A40,,KatsMeow23 won on time,Chess.com,5,Daily
4613,2025.02.27,Black,hemant_v,1-0,Loss,705,657,300+5,B20,,hemant_v won on time,Chess.com,57,Blitz
4614,2025.02.27,Black,zanyatonaxyi,1-0,Loss,697,713,300+5,A46,,zanyatonaxyi won by checkmate,Chess.com,89,Blitz
4615,2025.02.28,White,HansWernerZorro,1-0,Win,706,728,300+5,D02,,KatsMeow23 won by resignation,Chess.com,25,Blitz
4616,2025.02.28,White,leandroblas,1-0,Win,714,678,300+5,A48,,KatsMeow23 won by checkmate,Chess.com,39,Blitz
4617,2025.02.28,Black,StartedAt35,0-1,Win,722,695,300+5,B28,,KatsMeow23 won by checkmate,Chess.com,48,Blitz
4618,2025.03.02,White,walyons89,1-0,Win,728,644,300+5,A46,,KatsMeow23 won by resignation,Chess.com,67,Blitz
4619,2025.03.02,Black,megamex07,0-1,Win,736,710,300+5,B28,,KatsMeow23 won by checkmate,Chess.com,54,Blitz
4620,2025.03.02,White,siavashlanati,0-1,Loss,726,634,300+5,D04,,siavashlanati won on time,Chess.com,88,Blitz
4621,2025.03.02,White,FeriBolour,0-1,Loss,718,746,300+5,A45,,FeriBolour won by resignation,Chess.com,96,Blitz
4622,2025.03.02,Black,toreandersen,0-1,Win,725,652,300+5,A43,,KatsMeow23 won by resignation,Chess.com,46,Blitz
4623,2025.03.03,Black,miwebchess,0-1,Win,733,726,300+5,B28,,KatsMeow23 won by checkmate,Chess.com,130,Blitz
4624,2025.03.03,Black,nhumble1,1-0,Loss,725,762,300+5,B28,,nhumble1 won by checkmate,Chess.com,113,Blitz
4625,2025.02.25,White,lucydemovic,0-1,Loss,910,1005,1/259200,A04,,lucydemovic won by checkmate,Chess.com,58,Daily
4626,2025.03.04,White,Blackmans777,0-1,Loss,713,560,300+5,A40,,Blackmans777 won by resignation,Chess.com,52,Blitz
4627,2025.03.05,Black,yarrx,1-0,Loss,705,718,300+5,B30,,yarrx won by checkmate,Chess.com,29,Blitz
4628,2025.03.05,White,Nashethania,0-1,Loss,696,689,300+5,D02,,Nashethania won - game abandoned,Chess.com,74,Blitz
4629,2025.03.05,White,dknightc6,1-0,Win,705,718,300+5,D02,,KatsMeow23 won by resignation,Chess.com,53,Blitz
4630,2025.03.07,White,klearnnnnn,0-1,Loss,696,692,300+5,D02,,klearnnnnn won by resignation,Chess.com,66,Blitz
4631,2025.03.07,Black,dalag32,1-0,Loss,690,774,300+5,B28,,dalag32 won by resignation,Chess.com,71,Blitz
4632,2025.03.07,White,brilliantmove282008,0-1,Loss,683,734,300+5,D05,,brilliantmove282008 won by resignation,Chess.com,45,Blitz
4633,2025.03.08,White,Nibla17,1-0,Win,693,767,300+5,D02,,KatsMeow23 won by checkmate,Chess.com,49,Blitz
4634,2025.03.08,Black,Gregkinney,0-1,Win,700,645,300+5,B20,,KatsMeow23 won on time,Chess.com,72,Blitz
4635,2025.03.09,Black,Sean3636,1/2-1/2,Draw,701,763,300+5,B28,,Game drawn by insufficient material,Chess.com,118,Blitz
4636,2025.03.10,Black,Eduardo72CabrHern,1-0,Loss,693,702,300+5,B28,,Eduardo72CabrHern won by resignation,Chess.com,83,Blitz
4637,2025.03.10,White,sidd2609,1-0,Win,701,699,300+5,D02,,KatsMeow23 won on time,Chess.com,101,Blitz
4638,2025.03.11,Black,SreeragU,1-0,Loss,690,558,300+5,A43,,SreeragU won by resignation,Chess.com,27,Blitz
4639,2025.03.11,Black,banzhaf,1-0,Loss,681,648,300+5,B21,,banzhaf won on time,Chess.com,63,Blitz
4640,2025.03.11,White,cirkinordekkkk,1-0,Win,883,867,600,D02,,KatsMeow23 won by checkmate,Chess.com,55,Rapid
4641,2025.03.11,White,Debjyotiii,0-1,Loss,875,906,600,D02,,Debjyotiii won by resignation,Chess.com,48,Rapid
4642,2025.03.11,Black,Mosquito1999,1-0,Loss,672,665,180+2,B23,,Mosquito1999 won on time,Chess.com,39,Blitz
4643,2025.03.11,White,Asma_M_Ali,1-0,Win,678,564,300+5,D02,,KatsMeow23 won by resignation,Chess.com,87,Blitz
4644,2025.03.11,Black,7mwoodyy,0-1,Win,686,652,300+5,A00,,KatsMeow23 won by checkmate,Chess.com,24,Blitz
4645,2025.03.11,White,ElMsobhy,1-0,Win,692,581,300+5,D02,,KatsMeow23 won by checkmate,Chess.com,47,Blitz
4646,2025.03.11,White,HorseShifter,0-1,Loss,684,703,180+2,D02,,HorseShifter won on time,Chess.com,56,Blitz
4647,2025.03.11,Black,Aqib_Sajjad,0-1,Win,691,645,300+5,B20,,KatsMeow23 won on time,Chess.com,58,Blitz
4648,2025.03.12,White,alaube29,1-0,Win,883,857,600,A40,,KatsMeow23 won by resignation,Chess.com,57,Rapid
4649,2025.03.12,Black,JSPN8,0-1,Win,892,888,600,B22,,KatsMeow23 won by resignation,Chess.com,26,Rapid
4650,2025.03.12,Black,mensurisss,1-0,Loss,884,906,600,B30,,mensurisss won on time,Chess.com,105,Rapid
4651,2025.03.12,White,will5085,1-0,Win,892,868,600,D00,,KatsMeow23 won by resignation,Chess.com,91,Rapid
4652,2025.03.12,Black,v4iiishnav,1-0,Loss,884,901,600,B28,,v4iiishnav won by checkmate,Chess.com,79,Rapid
4653,2025.03.12,Black,Dragon_Sl123,1-0,Loss,876,885,600,A40,,Dragon_Sl123 won by resignation,Chess.com,73,Rapid
4654,2025.03.12,White,Badawi12551,0-1,Loss,867,860,600,D02,,Badawi12551 won by resignation,Chess.com,64,Rapid
4655,2025.03.12,White,Connoisseur_44,0-1,Loss,682,661,300+5,D02,,Connoisseur_44 won by checkmate,Chess.com,72,Blitz
4656,2025.03.13,White,parlaybenny,1-0,Win,687,519,300+5,D02,,KatsMeow23 won by resignation,Chess.com,55,Blitz
4657,2025.03.13,Black,Solok123,1-0,Loss,680,746,300+5,B40,,Solok123 won by checkmate,Chess.com,65,Blitz
4658,2025.03.13,White,waelmd9,1-0,Win,688,691,300+5,D00,,KatsMeow23 won by checkmate,Chess.com,79,Blitz
4659,2025.03.13,Black,tyetyetyetye,1-0,Loss,685,620,300+5,A43,,tyetyetyetye won by resignation,Chess.com,75,Blitz
4660,2025.03.14,Black,queenklytaimnestra,1-0,Loss,675,625,300+5,B40,,queenklytaimnestra won by resignation,Chess.com,55,Blitz
4661,2025.03.15,White,Vicando,1-0,Win,683,673,300+5,D02,,KatsMeow23 won by resignation,Chess.com,49,Blitz
4662,2025.03.16,White,anghelalexandru7777,1-0,Win,876,881,600,D02,,KatsMeow23 won by resignation,Chess.com,41,Rapid
4663,2025.03.16,Black,anghelalexandru7777,0-1,Win,884,873,600,B28,,KatsMeow23 won - game abandoned,Chess.com,66,Rapid
4664,2025.03.16,White,abdazd,0-1,Loss,876,872,600,A48,,abdazd won by checkmate,Chess.com,44,Rapid
4665,2025.03.16,Black,oppeu,0-1,Win,884,844,600,B20,,KatsMeow23 won by resignation,Chess.com,56,Rapid
4666,2025.03.16,White,JOHAN1603,1-0,Win,892,870,600,D02,,KatsMeow23 won on time,Chess.com,67,Rapid
4667,2025.03.16,White,temo1706,0-1,Loss,674,629,300+5,D04,,temo1706 won by resignation,Chess.com,120,Blitz
4668,2025.03.17,White,henrikhundevad,0-1,Loss,667,712,300+5,D02,,henrikhundevad won by resignation,Chess.com,76,Blitz
4669,2025.03.17,Black,sschw42827,1-0,Loss,658,637,300+5,A43,,sschw42827 won by resignation,Chess.com,55,Blitz
4670,2025.03.17,Black,Cris882,1-0,Loss,646,471,300+5,B28,,Cris882 won on time,Chess.com,73,Blitz
4671,2025.03.17,Black,Adgur777,0-1,Win,654,627,300+5,B20,,KatsMeow23 won by checkmate,Chess.com,62,Blitz
4672,2025.03.17,White,lamancha988,0-1,Loss,646,648,300+5,D02,,lamancha988 won by resignation,Chess.com,70,Blitz
4673,2025.03.17,Black,SlappyRick,0-1,Win,655,665,300+5,B20,,KatsMeow23 won on time,Chess.com,32,Blitz
4674,2025.03.17,White,ingarnov,0-1,Loss,646,640,300+5,D05,,ingarnov won by resignation,Chess.com,104,Blitz
4675,2025.03.18,Black,rocco22,0-1,Win,654,646,300+5,B30,,KatsMeow23 won on time,Chess.com,86,Blitz
4676,2025.03.18,Black,DodYooka,0-1,Win,662,659,300+5,A43,,KatsMeow23 won by resignation,Chess.com,61,Blitz
4677,2025.03.18,White,lasssem,1-0,Win,668,566,300+5,A48,,KatsMeow23 won by checkmate,Chess.com,169,Blitz
4678,2025.03.18,Black,jessedog,0-1,Win,676,654,300+5,A56,,KatsMeow23 won by resignation,Chess.com,20,Blitz
4679,2025.03.18,White,realjalexander,0-1,Loss,668,688,300+5,A80,,realjalexander won by checkmate,Chess.com,46,Blitz
4680,2025.03.18,Black,Earendel67,0-1,Win,676,660,300+5,A46,,KatsMeow23 won by checkmate,Chess.com,74,Blitz
4681,2025.03.18,Black,TheJoker365,1-0,Loss,671,798,300+5,B28,,TheJoker365 won by checkmate,Chess.com,75,Blitz
4682,2025.03.18,White,patricy,0-1,Loss,666,823,300+5,A40,,patricy won by resignation,Chess.com,110,Blitz
4683,2025.03.19,Black,patricy,1-0,Loss,661,828,300+5,A00,,patricy won by resignation,Chess.com,73,Blitz
4684,2025.03.19,White,protem3,0-1,Loss,656,820,300+5,D02,,protem3 won by resignation,Chess.com,90,Blitz
4685,2025.03.19,White,nicolassurreaa,1-0,Win,664,629,300+5,D04,,KatsMeow23 won on time,Chess.com,55,Blitz
4686,2025.03.19,White,1TheDestroyer1,0-1,Loss,654,567,300+5,D02,,1TheDestroyer1 won by checkmate,Chess.com,108,Blitz
4687,2025.03.20,Black,manux71,1-0,Loss,645,639,300+5,B21,,manux71 won on time,Chess.com,57,Blitz
4688,2025.03.20,White,atanix84,1-0,Win,654,663,300+5,A45,,KatsMeow23 won on time,Chess.com,63,Blitz
4689,2025.03.20,Black,DonLucas4,0-1,Win,661,607,300+5,B28,,KatsMeow23 won by checkmate,Chess.com,66,Blitz
4690,2025.03.20,White,x-1635290802,1-0,Win,669,642,300+5,D02,,KatsMeow23 won by checkmate,Chess.com,69,Blitz
4691,2025.03.20,Black,Georgethegeoff,0-1,Win,677,677,300+5,B20,,KatsMeow23 won on time,Chess.com,66,Blitz
4692,2025.03.15,Black,MEHdi0IR,0-1,Win,924,917,1/259200,A43,,KatsMeow23 won on time,Chess.com,30,Daily
4693,2025.03.21,White,jeffmann7404,1-0,Win,687,739,300+5,A45,,KatsMeow23 won on time,Chess.com,71,Blitz
4694,2025.03.21,Black,tantorumorepernulla,1-0,Loss,678,654,300+5,B20,,tantorumorepernulla won by resignation,Chess.com,43,Blitz
4695,2025.03.21,White,aroll74,0-1,Loss,670,677,300+5,D02,,aroll74 won by resignation,Chess.com,78,Blitz
4696,2025.03.21,Black,jeff916,1-0,Loss,660,605,300+5,A40,,jeff916 won by resignation,Chess.com,39,Blitz
4697,2025.03.21,White,ToxicChessChamp,0-1,Loss,652,679,300+5,D02,,ToxicChessChamp won by checkmate,Chess.com,60,Blitz
4698,2025.03.21,Black,YangYeom,0-1,Win,658,578,300+5,B40,,KatsMeow23 won by resignation,Chess.com,5,Blitz
4699,2025.03.21,Black,wmrussell214,1-0,Loss,652,732,300+5,A43,,wmrussell214 won by resignation,Chess.com,77,Blitz
4700,2025.03.21,White,Georgethegeoff,1-0,Win,660,658,300+5,A80,,KatsMeow23 won on time,Chess.com,71,Blitz
4701,2025.03.22,Black,jaclfc,0-1,Win,667,623,300+5,B40,,KatsMeow23 won on time,Chess.com,60,Blitz
4702,2025.03.22,Black,Alaso2023,1-0,Loss,662,822,300+5,A43,,Alaso2023 won on time,Chess.com,59,Blitz
4703,2025.03.22,White,Alaso2023,0-1,Loss,657,827,300+5,A46,,Alaso2023 won by checkmate,Chess.com,54,Blitz
4704,2025.03.22,White,Philidor888,0-1,Loss,647,600,300+5,D02,,Philidor888 won by resignation,Chess.com,46,Blitz
4705,2025.03.22,White,rutrag,0-1,Loss,639,645,300+5,D02,,rutrag won by resignation,Chess.com,64,Blitz
4706,2025.03.22,Black,Jk293,1-0,Loss,632,711,300+5,A43,,Jk293 won by checkmate,Chess.com,55,Blitz
4707,2025.03.23,Black,DiamondDude64,0-1,Win,642,689,300+5,B30,,KatsMeow23 won by checkmate,Chess.com,20,Blitz
4708,2025.03.23,White,abdallahjazyah,1-0,Win,654,804,300+5,A46,,KatsMeow23 won by checkmate,Chess.com,55,Blitz
4709,2025.03.23,White,dfeeser,1-0,Win,662,634,300+5,D02,,KatsMeow23 won by resignation,Chess.com,71,Blitz
4710,2025.03.24,Black,RossB01,1-0,Loss,655,695,300+5,A43,,RossB01 won on time,Chess.com,69,Blitz
4711,2025.03.24,White,RickePicke3000,0-1,Loss,645,609,300+5,D02,,RickePicke3000 won by resignation,Chess.com,51,Blitz
4712,2025.03.24,Black,apm-86,1-0,Loss,637,648,300+5,B28,,apm-86 won by resignation,Chess.com,67,Blitz
4713,2025.03.25,White,Addddx,1/2-1/2,Draw,638,661,300+5,A48,,Game drawn by repetition,Chess.com,154,Blitz
4714,2025.03.25,Black,SimonKirsch1,1-0,Loss,627,512,300+5,B28,,SimonKirsch1 won by resignation,Chess.com,55,Blitz
4715,2025.03.25,Black,KhalidAlhamadi,0-1,Win,634,594,300+5,B28,,KatsMeow23 won on time,Chess.com,84,Blitz
4716,2025.03.25,White,aeortiz,1-0,Win,639,509,300+5,D02,,KatsMeow23 won by resignation,Chess.com,101,Blitz
4717,2025.02.15,White,SmokeDC,0-1,Loss,924,927,1/259200,D02,,SmokeDC won on time,Chess.com,92,Daily
4718,2025.03.11,Black,NCT2008,1-0,Loss,910,907,1/259200,B28,,NCT2008 won on time,Chess.com,47,Daily
4719,2025.03.26,White,franfalam,0-1,Loss,892,929,600,D02,,franfalam won by checkmate,Chess.com,62,Rapid
4720,2025.03.26,White,Zhujo,1-0,Win,900,888,600,D02,,KatsMeow23 won by checkmate,Chess.com,43,Rapid
4721,2025.03.26,Black,steven2345678910,1-0,Loss,892,906,600,C00,,steven2345678910 won by checkmate,Chess.com,49,Rapid
4722,2025.03.27,Black,jbowe10,0-1,Win,647,649,300+5,A43,,KatsMeow23 won on time,Chess.com,76,Blitz
4723,2025.03.27,Black,derindondurucu1,0-1,Win,655,623,300+5,B23,,KatsMeow23 won by checkmate,Chess.com,70,Blitz
4724,2025.03.28,White,lobista,1-0,Win,662,614,300+5,D02,,KatsMeow23 won on time,Chess.com,117,Blitz
4725,2025.03.28,Black,KamoNM,1-0,Loss,654,668,300+5,B28,,KamoNM won on time,Chess.com,41,Blitz
4726,2025.03.28,White,Oyeoluwa,0-1,Loss,645,621,300+5,D02,,Oyeoluwa won by resignation,Chess.com,47,Blitz
4727,2025.03.29,Black,sverik,1-0,Loss,636,611,300+5,B30,,sverik won by resignation,Chess.com,51,Blitz
4728,2025.03.29,White,FlynnE12,1-0,Win,641,506,300+5,A80,,KatsMeow23 won by checkmate,Chess.com,101,Blitz
4729,2025.03.29,Black,toreandersen,0-1,Win,649,627,300+5,A04,,KatsMeow23 won by resignation,Chess.com,92,Blitz
4730,2025.03.30,White,Yahyn,1-0,Win,657,656,300+5,D02,,KatsMeow23 won on time,Chess.com,49,Blitz
4731,2025.03.31,Black,Beast-MO,0-1,Win,667,727,300+5,A00,,KatsMeow23 won on time,Chess.com,54,Blitz
4732,2025.03.31,Black,Nikhdy,1-0,Loss,884,901,600,A43,,Nikhdy won by checkmate,Chess.com,13,Rapid
4733,2025.03.31,White,KOR_BG,1-0,Win,892,863,600,D05,,KatsMeow23 won by checkmate,Chess.com,47,Rapid
4734,2025.03.12,White,alcovski,0-1,Loss,892,785,1/259200,A40,,alcovski won by resignation,Chess.com,52,Daily
4735,2025.03.31,White,IhorCo,1/2-1/2,Draw,669,747,300+5,D02,,Game drawn by repetition,Chess.com,117,Blitz
4736,2025.04.01,Black,clement63110,0-1,Win,678,711,300+5,B20,,KatsMeow23 won by resignation,Chess.com,18,Blitz
4737,2025.04.01,White,senpai-creampie,0-1,Loss,668,703,300+5,D04,,senpai-creampie won by checkmate,Chess.com,82,Blitz
4738,2025.04.01,White,Andreas_Vincent,1-0,Win,675,598,300+5,D02,,KatsMeow23 won by checkmate,Chess.com,51,Blitz
4739,2025.04.01,Black,bleib,0-1,Win,684,717,180+2,A43,,KatsMeow23 won by checkmate,Chess.com,30,Blitz
4740,2025.04.01,White,caddara,0-1,Loss,676,679,300+5,D02,,caddara won by resignation,Chess.com,56,Blitz
4741,2025.04.02,Black,LartKings,1-0,Loss,669,706,300+5,A43,,LartKings won by checkmate,Chess.com,93,Blitz
4742,2025.04.02,Black,Gondikof,1-0,Loss,661,681,300+5,B22,,Gondikof won on time,Chess.com,61,Blitz
4743,2025.04.02,White,d3348l0,1-0,Win,667,576,300+5,A80,,KatsMeow23 won by resignation,Chess.com,15,Blitz
4744,2025.04.02,Black,EvenBucket,1-0,Loss,662,817,300+5,B28,,EvenBucket won - game abandoned,Chess.com,65,Blitz
4745,2025.04.03,White,londonsystemspam,0-1,Loss,653,641,300+5,D02,,londonsystemspam won by checkmate,Chess.com,42,Blitz
4746,2025.04.03,Black,Giu_mmi,1-0,Loss,644,620,300+5,B28,,Giu_mmi won by resignation,Chess.com,61,Blitz
4747,2025.04.03,White,Cloutingale23,1/2-1/2,Draw,645,690,300+5,D04,,Game drawn by repetition,Chess.com,80,Blitz
4748,2025.04.03,Black,Javiseva,1-0,Loss,637,674,300+5,B20,,Javiseva won on time,Chess.com,45,Blitz
4749,2025.04.03,White,sikerim69,0-1,Loss,884,897,600,A46,,sikerim69 won by checkmate,Chess.com,62,Rapid
4750,2025.04.05,White,PowerDrillHill,1-0,Win,643,542,300+5,D02,,KatsMeow23 won by checkmate,Chess.com,49,Blitz
4751,2025.04.05,Black,danielfonseca,1-0,Loss,636,696,300+5,B28,,danielfonseca won by resignation,Chess.com,31,Blitz
4752,2025.04.05,White,SerhiiKulyk,0-1,Loss,628,659,300+5,D02,,SerhiiKulyk won on time,Chess.com,50,Blitz
4753,2025.03.26,Black,SmokeDC,0-1,Win,892,909,1/259200,B10,,KatsMeow23 won by checkmate,Chess.com,36,Daily
4754,2025.04.06,Black,mizarlex,0-1,Win,640,798,300+5,B28,,KatsMeow23 won by resignation,Chess.com,50,Blitz
4755,2025.04.06,White,neospeedy,0-1,Loss,632,630,300+5,A40,,neospeedy won by checkmate,Chess.com,120,Blitz
4756,2025.04.06,Black,Diyan3014,1-0,Loss,626,739,300+5,B28,,Diyan3014 won by resignation,Chess.com,99,Blitz
4757,2025.04.06,Black,thomasegreen,1-0,Loss,618,623,300+5,B20,,thomasegreen won by checkmate,Chess.com,179,Blitz
4758,2025.04.06,Black,hamouidrici,0-1,Win,625,585,300+5,A43,,KatsMeow23 won by resignation,Chess.com,12,Blitz
4759,2025.04.06,White,ymp89,0-1,Loss,617,630,300+5,D04,,ymp89 won on time,Chess.com,76,Blitz
4760,2025.04.06,White,Mojakrahi,1-0,Win,892,895,900+10,D00,,KatsMeow23 won by resignation,Chess.com,61,Rapid
4761,2025.04.06,Black,franciscolopezgomez,0-1,Win,899,860,900+10,B20,,KatsMeow23 won by checkmate,Chess.com,82,Rapid
4762,2025.04.07,White,3JPC3,1-0,Win,907,911,600,A40,,KatsMeow23 won by resignation,Chess.com,43,Rapid
4763,2025.03.31,Black,alcovski,0-1,Win,901,745,1/259200,B30,,KatsMeow23 won by checkmate,Chess.com,86,Daily
4764,2025.04.08,Black,jfk748,0-1,Win,627,700,300+2,B20,,KatsMeow23 won by checkmate,Chess.com,46,Blitz
4765,2025.04.08,White,Knightmairz,0-1,Loss,617,557,300+2,D02,,Knightmairz won on time,Chess.com,80,Blitz
4766,2025.04.08,Black,Lasidar,1-0,Loss,609,635,300+2,B28,,Lasidar won by resignation,Chess.com,37,Blitz
4767,2025.04.10,White,Solarislune,1-0,Win,617,596,300+2,A40,,KatsMeow23 won by resignation,Chess.com,57,Blitz
4768,2025.04.11,Black,tempest_joe7,1-0,Loss,610,684,300+2,B01,,tempest_joe7 won on time,Chess.com,73,Blitz
4769,2025.04.12,White,Hamada3200,0-1,Loss,898,891,600,A41,,Hamada3200 won on time,Chess.com,60,Rapid
4770,2025.04.12,White,timsinak,0-1,Loss,891,929,900+10,D00,,timsinak won by resignation,Chess.com,56,Rapid
4771,2025.04.12,White,CheezyChessClown,0-1,Loss,883,915,900+10,D02,,CheezyChessClown won by resignation,Chess.com,94,Rapid
4772,2025.04.12,Black,yaloanna,1-0,Loss,876,975,900+10,A40,,yaloanna won by checkmate,Chess.com,81,Rapid
4773,2025.04.05,White,nukro123,1-0,Win,915,855,1/259200,D04,,KatsMeow23 won on time,Chess.com,23,Daily
4774,2025.04.13,Black,brainmail,0-1,Win,614,414,300+2,A60,,KatsMeow23 won by checkmate,Chess.com,50,Blitz
4775,2025.04.14,White,Ishant3007,1-0,Win,885,890,900+10,A40,,KatsMeow23 won by checkmate,Chess.com,49,Rapid
4776,2025.04.14,White,shahdhaval22,1-0,Win,624,692,300+2,A40,,KatsMeow23 won by checkmate,Chess.com,79,Blitz
4777,2025.04.14,White,Modric123444,0-1,Loss,620,823,300+2,A40,,Modric123444 won on time,Chess.com,88,Blitz
4778,2025.04.14,Black,luxdex74,1-0,Loss,614,722,300+5,B28,,luxdex74 won by checkmate,Chess.com,41,Blitz
4779,2025.04.14,Black,avika123456,0-1,Win,621,547,180+2,A43,,KatsMeow23 won by checkmate,Chess.com,26,Blitz
4780,2025.04.15,Black,pfroessler,1-0,Loss,611,536,300+5,B20,,pfroessler won on time,Chess.com,47,Blitz
4781,2025.04.10,White,bacsiken11,1-0,Win,924,771,1/259200,A46,,KatsMeow23 won by checkmate,Chess.com,31,Daily
4782,2025.04.15,Black,VeniVincere,1-0,Loss,605,699,300+5,A43,,VeniVincere won by checkmate,Chess.com,49,Blitz
